,x,y
0,7.0,0.0
1,6.983897465246705,0.4438397447262617
2,6.93570322768295,0.8851287150330351
3,6.855756150084277,1.321338693992625
4,6.74461689691303,1.7499862911367097
5,6.603061835211202,2.168654638718243
6,6.432074617148971,2.575014239703022
7,6.232835563261989,2.9668427046809085
8,6.006708996223961,3.3420431315775696
9,5.75522870348803,3.6986609024108446
10,5.48008173285049,4.034898695049879
11,5.183090747547333,4.349129534625339
12,4.866195186542293,4.639907738484177
13,4.531431490914399,4.905977639921171
14,4.18091266847454,5.14628000885793
15,3.816807475768478,5.359956121659349
16,3.4413194993601275,5.546349466842755
17,3.056666416703041,5.705005108002878
18,2.665059711038676,5.835666759304239
19,2.268685104713354,5.938271661848786
20,1.8696839612547334,6.012943380595829
21,1.4701358887291018,6.0599826708049545
22,1.0720427556086283,6.079856589736083
23,0.6773143059633632,6.0731860531607955
24,0.2877555336559108,6.040732056750139
25,-0.09494405420044073,5.983380799294216
26,-0.4692191854789284,5.9021279577249794
27,-0.83363551644696,5.798062372864881
28,-1.1868942371071793,5.672349409585366
29,-1.5278345887576987,5.526214255572949
30,-1.8554343272759237,5.360925419177708
31,-2.168808198011933,5.177778678938057
32,-2.467204519203478,4.978081725482599
33,-2.7500000000000013,4.763139720814412
34,-3.016692946043226,4.534241980756337
35,-3.266895029671018,4.292649963905021
36,-3.5003218228083526,4.039586725185083
37,-3.716782308155332,3.776227964436239
38,-3.9161675981040225,3.5036947708671224
39,-4.098439100702011,3.22304813316186
40,-4.26361637778306,2.9352852530440714
41,-4.411764942023521,2.641337667716647
42,-4.5429842371439415,2.3420711543392954
43,-4.657396038813852,2.038287358110915
44,-4.755133503155961,1.7307270551107437
45,-4.836331075271394,1.4200749323207793
46,-4.901115452169132,1.106965740674659
47,-4.949597773187894,0.7919916529908558
48,-4.981867186807154,0.47571063764488974
49,-4.997985916063168,0.15865564116012368
50,-4.997985916063168,-0.15865564116012468
51,-4.981867186807154,-0.4757106376448907
52,-4.949597773187894,-0.7919916529908568
53,-4.901115452169132,-1.1069657406746576
54,-4.836331075271394,-1.42007493232078
55,-4.755133503155961,-1.730727055110742
56,-4.657396038813852,-2.038287358110916
57,-4.5429842371439415,-2.342071154339294
58,-4.41176494202352,-2.6413376677166474
59,-4.263616377783061,-2.9352852530440705
60,-4.09843910070201,-3.2230481331618606
61,-3.916167598104023,-3.503694770867122
62,-3.7167823081553317,-3.77622796443624
63,-3.5003218228083535,-4.0395867251850825
64,-3.266895029671017,-4.2926499639050215
65,-3.0166929460432272,-4.534241980756337
66,-2.749999999999998,-4.763139720814413
67,-2.4672045192034773,-4.978081725482601
68,-2.168808198011933,-5.177778678938057
69,-1.8554343272759248,-5.360925419177708
70,-1.5278345887576965,-5.52621425557295
71,-1.1868942371071782,-5.672349409585366
72,-0.83363551644696,-5.798062372864881
73,-0.4692191854789299,-5.902127957724979
74,-0.09494405420043824,-5.983380799294217
75,0.287755533655912,-6.040732056750139
76,0.6773143059633616,-6.073186053160795
77,1.0720427556086256,-6.079856589736083
78,1.4701358887291034,-6.059982670804955
79,1.8696839612547334,-6.012943380595829
80,2.2686851047133523,-5.938271661848786
81,2.665059711038679,-5.835666759304239
82,3.0566664167030426,-5.705005108002878
83,3.4413194993601275,-5.546349466842755
84,3.8168074757684765,-5.359956121659349
85,4.180912668474542,-5.146280008857929
86,4.531431490914399,-4.905977639921169
87,4.866195186542291,-4.639907738484176
88,5.183090747547332,-4.349129534625342
89,5.48008173285049,-4.034898695049878
90,5.75522870348803,-3.6986609024108437
91,6.00670899622396,-3.34204313157757
92,6.232835563261988,-2.9668427046809103
93,6.432074617148972,-2.575014239703019
94,6.603061835211202,-2.1686546387182424
95,6.74461689691303,-1.7499862911367108
96,6.855756150084278,-1.321338693992622
97,6.93570322768295,-0.8851287150330336
98,6.983897465246705,-0.4438397447262618
99,7.0,-1.7145055188062944e-15
